TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media,Hour,Year,Month,MonthName,MonthDay,DayName,Week,Date,Time
1641446994534338570,"📅 It's 3/30 aka #A330 Day! Flying on routes from 20 mins to over 17 hours, find out what makes the #A330 the most versatile widebody Family ✈️ https://t.co/brhOh9G9Qi",Airbus,en,"['A330', 'A330']",7,43,254,6,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FseXN2_aIAI9jwS.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1641445664063373314/vid/640x360/mNhc-Ig4SuP0-qva.mp4?tag=16', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1641445664063373314/pl/DEt6TTWg96-A6xQk.m3u8?tag=16&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1641445664063373314/vid/1920x1080/uxzUsHlUeKr9po6l.mp4?tag=16', contentType='video/mp4', bitrate=10368000), VideoVariant(url='https://video.twimg.com/amplify_video/1641445664063373314/vid/1280x720/GJ7NmFsGjhJ3KGwQ.mp4?tag=16', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1641445664063373314/vid/480x270/Har9lqt7w_fLGmL-.mp4?tag=16', contentType='video/mp4', bitrate=288000)], duration=94.1, views=7142, altText=None)]",14,2023,3,March,30,Thursday,13,2023-03-30,14:27:14
1641402184444137473,📅 What day is it? It's 3/30 aka #A330 Day! Find out how the #A330neo brings you a new level of comfort and the latest in-flight entertainment with its award-winning #Airspace cabin 🏆 https://t.co/auB6ihESO3,Airbus,en,"['A330', 'A330neo', 'Airspace']",9,49,318,8,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FsduVgHXwAIavZV.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1641401343217750016/vid/1920x1080/NGzIgZKziauICyXD.mp4?tag=16', contentType='video/mp4', bitrate=10368000), VideoVariant(url='https://video.twimg.com/amplify_video/1641401343217750016/vid/640x360/DLGOwTHEcTTY_iXy.mp4?tag=16', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1641401343217750016/vid/1280x720/c2u71BElEAA1chSe.mp4?tag=16', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1641401343217750016/pl/xDvyqzaTg8uhXZNT.m3u8?tag=16&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1641401343217750016/vid/480x270/EudukbSoJyduFSNL.mp4?tag=16', contentType='video/mp4', bitrate=288000)], duration=57.45, views=15603, altText=None)]",11,2023,3,March,30,Thursday,13,2023-03-30,11:29:11
1641356455637925893,📅 What day is it? It's 3/30 aka #A330 Day! In our first episode get to know the most popular widebody aircraft Family ✈️ https://t.co/j6KAi0JW5e,Airbus,en,['A330'],5,67,414,8,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FsdErnAWcAAM7RI.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1641355420596936704/vid/1920x1080/tiQFTSUvcY8Ek_lg.mp4?tag=16', contentType='video/mp4', bitrate=10368000), VideoVariant(url='https://video.twimg.com/amplify_video/1641355420596936704/vid/640x360/K2VusViUWdkhSmWO.mp4?tag=16', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1641355420596936704/pl/8z-hPdhuq7AwRn1o.m3u8?tag=16&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1641355420596936704/vid/480x270/1xEpVvGFO29ENZU5.mp4?tag=16', contentType='video/mp4', bitrate=288000), VideoVariant(url='https://video.twimg.com/amplify_video/1641355420596936704/vid/1280x720/AClN7HwIfwNILn-F.mp4?tag=16', contentType='video/mp4', bitrate=2176000)], duration=51.133, views=11591, altText=None)]",8,2023,3,March,30,Thursday,13,2023-03-30,08:27:28
1641005811777282049,"Welcome on board @Lufthansa! Great to see you joining the @WEF and its partners, driving the development and implementation of low carbon technologies for the future! #FirstMoversCoalition",Airbus,en,['FirstMoversCoalition'],5,18,203,1,,9,2023,3,March,29,Wednesday,13,2023-03-29,09:14:08
1638182807410298881,"What do Airbus and #Paralympic fencer @maximevalet31 have in common? 🤺✈️
Innovation, precision and attention to detail.
Find out how we helped build Maxime a wheelchair 🦽 to increase his reach and sharpen his edge during competition ➡️ https://t.co/FYiE9PLLAh https://t.co/4q11WnK9Kf",Airbus,en,['Paralympic'],2,12,87,0,"[Photo(previewUrl='https://pbs.twimg.com/media/Frv92xfaMAIGwZh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frv92xfaMAIGwZh?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/Frv96yrWwAA7UKK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frv96yrWwAA7UKK?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/Frv96zvWAAAm0VA?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Frv96zvWAAAm0VA?format=jpg&name=orig', altText=None)]",14,2023,3,March,21,Tuesday,12,2023-03-21,14:16:31
1637846817625763840,📅 It's 3/20 aka #A320 Day! In this final episode find out how the #A320neo Family just keeps on #FlyingFurther ✈️ https://t.co/QFj6tgbhOf,Airbus,en,"['A320', 'A320neo', 'FlyingFurther']",4,38,286,4,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FrrMsb0WwAIED5T.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1637845220749463552/vid/1280x720/dtKI5SIoVVeHjiyc.mp4?tag=16', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1637845220749463552/vid/480x270/3fW8ixteZGli_R93.mp4?tag=16', contentType='video/mp4', bitrate=288000), VideoVariant(url='https://video.twimg.com/amplify_video/1637845220749463552/vid/1920x1080/Aviq5PBp8YM-qmez.mp4?tag=16', contentType='video/mp4', bitrate=10368000), VideoVariant(url='https://video.twimg.com/amplify_video/1637845220749463552/vid/640x360/dWlJN1UjOMV5pP6V.mp4?tag=16', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1637845220749463552/pl/TUekne8GaTlBSi0H.m3u8?tag=16&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=48.166, views=8790, altText=None)]",16,2023,3,March,20,Monday,12,2023-03-20,16:01:25
1637813610750656514,"📅 What day is it? It's 3/20 aka #A320 Day! In today's 2nd episode find out how the #A320neo's widest single-aisle cabin, gives you even more space 💺 and comfort... https://t.co/n6ChhInv2H",Airbus,en,"['A320', 'A320neo']",5,33,257,0,"[Video(thumbnailUrl='https://pbs.twimg.com/media/Frqueu7XgAAVlou.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1637812603962441734/vid/640x360/srTl3kO93wWNVOBO.mp4?tag=16', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1637812603962441734/vid/480x270/YPCf5HwVHOOLP5ne.mp4?tag=16', contentType='video/mp4', bitrate=288000), VideoVariant(url='https://video.twimg.com/amplify_video/1637812603962441734/vid/1920x1080/4GeFpV9Eoa-gKLKG.mp4?tag=16', contentType='video/mp4', bitrate=10368000), VideoVariant(url='https://video.twimg.com/amplify_video/1637812603962441734/pl/b4Y7QpGdpSvjA2Z_.m3u8?tag=16&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1637812603962441734/vid/1280x720/QRy6E2cuhyYs_PTd.mp4?tag=16', contentType='video/mp4', bitrate=2176000)], duration=53.283, views=7229, altText=None)]",13,2023,3,March,20,Monday,12,2023-03-20,13:49:28
1637775001691537408,"📅 What day is it? It's 3/20 aka #A320 Day!
In our first episode today find out how the #A320neo comes from a truly innovative Family 🙌 https://t.co/1HmdelnjNx",Airbus,en,"['A320', 'A320neo']",7,115,577,13,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FrqLUDLWIAIsYDv.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1637773913827540993/vid/1280x720/KIFaTgtUOAS2-7tE.mp4?tag=16', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1637773913827540993/vid/480x270/ojPwQD_2nGdPljNa.mp4?tag=16', contentType='video/mp4', bitrate=288000), VideoVariant(url='https://video.twimg.com/amplify_video/1637773913827540993/vid/640x360/9ri6QJC0K4_CiRGY.mp4?tag=16', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1637773913827540993/pl/jwP4dD-KQJ8J2s6i.m3u8?tag=16&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1637773913827540993/vid/1920x1080/qYCIZ0571qYNIGp6.mp4?tag=16', contentType='video/mp4', bitrate=10368000)], duration=62.516, views=18486, altText=None)]",11,2023,3,March,20,Monday,12,2023-03-20,11:16:03
1636743690801561601,@FrankReardon1 Brilliant!!😁,Airbus,en,,1,0,8,0,,14,2023,3,March,17,Friday,11,2023-03-17,14:57:59
1636646183148847105,"Another #FrostyFriday 🥶 as our #A321XLR completes a new set of extreme cold weather testing this week in Iqaluit, Canada 🍁.
Hey #planespotters - we know you have some cool pics 📷 - want to share some with us? https://t.co/dNzjSd5DFJ",Airbus,en,"['FrostyFriday', 'A321XLR', 'planespotters']",16,120,945,5,"[Photo(previewUrl='https://pbs.twimg.com/media/FraIqDaXwAAHwgu?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FraIqDaXwAAHwgu?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FraIqDXWwAEfyJF?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FraIqDXWwAEfyJF?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/FraIqDZWAAEO_XK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FraIqDZWAAEO_XK?format=jpg&name=orig', altText=None)]",8,2023,3,March,17,Friday,11,2023-03-17,08:30:32
